"SpMax_L" "J_Dz(e)" "C%" "SdssC" "HyWi_B(m)" "LOC" "SM6_L" "F03[C-O]" "Me" "Mi" "SpPosA_B(p)" "B01[C-Br]" "B03[C-Cl]" "SpMax_A" "Psi_i_1d" "SdO" "TI2_L" "SpMax_B(m)" "Psi_i_A" "SM6_B(m)" "Y"
"160" 4.876 3.0864 41.7 -0.858 3.571 1.59 10.236 "10" 1.03 1.121 1.203 "0" "0" 2.297 0.001 22.051 2.573 3.755 2.833 8.591 "1"
"161" 4.842 2.9844 41.7 -0.87 3.39 1.258 10.136 "4" 0.998 1.121 1.238 "0" "0" 2.278 0.004 10.482 2.113 3.718 2.611 8.382 "1"
"162" 4.982 2.8539 53.3 -1.101 3.39 0.762 10.226 "8" 1.05 1.097 1.249 "0" "0" 2.424 0.004 21.666 1.027 3.866 2.924 8.527 "1"
"163" 4.828 2.2467 50 -1.417 3.838 0.584 10.424 "10" 1.026 1.104 1.248 "0" "0" 2.265 0 22.962 4.401 3.715 2.648 8.88 "1"
"164" 5.12 3.2785 36.8 -1.775 4.156 2.419 10.778 "18" 1.004 1.131 1.195 "0" "0" 2.4 0 36.905 3.368 3.852 2.481 9.032 "1"
"165" 4.732 3.0836 46.7 -0.879 3.151 1.187 9.642 "4" 1.02 1.111 1.235 "0" "0" 2.194 -0.026 10.201 1.659 3.663 2.926 8.161 "1"
"166" 4.77 3.1187 41.2 -0.931 3.249 1.185 9.882 "4" 1.024 1.127 1.219 "0" "0" 2.236 0.015 10.271 1.74 3.707 3 8.288 "1"
"167" 4.951 2.7402 38.7 -0.464 3.59 2.071 10.241 "9" 1.002 1.127 1.223 "0" "0" 2.29 -0.001 11.465 3.744 3.743 2.522 8.502 "1"
"168" 4.923 3.3133 43.8 -1.113 3.261 1.185 9.911 "7" 1.04 1.117 1.207 "0" "0" 2.267 0.015 10.262 1.563 3.741 3.2 8.303 "1"
"169" 4.972 3.3935 42.9 -1.648 3.513 1.508 10.173 "8" 1.04 1.119 1.211 "0" "0" 2.307 -0.002 21.185 2.228 3.761 3.09 8.567 "1"
"170" 4.845 2.7876 40 -0.746 3.678 2.125 10.281 "8" 1.016 1.125 1.217 "0" "0" 2.282 0 22.67 3.549 3.718 2.667 8.635 "1"
"171" 5.31 3.4619 37.5 0 3.425 1.185 10.25 "6" 1.044 1.112 1.246 "0" "0" 2.288 0.015 20.777 1.726 4.734 3.258 9.474 "1"
"172" 4.414 2.2808 35.3 0.464 2.801 0.802 9.183 "2" 0.985 1.134 1.197 "0" "0" 2.101 -0.069 10.463 0.975 3.344 2.31 7.446 "1"
"173" 4.963 2.736 52.4 -0.884 3.532 0.985 10.277 "4" 1.009 1.099 1.296 "0" "0" 2.359 0.001 10.645 1.762 3.881 2.59 8.68 "1"
"174" 4.877 2.6955 47.1 0 3.359 0.943 10.07 "6" 1.037 1.11 1.243 "0" "0" 2.36 0.004 10.31 1.496 3.775 2.591 8.386 "1"
"175" 4.414 2.8449 41.7 0.041 2.898 0.802 9.183 "2" 1.016 1.128 1.254 "0" "0" 2.101 -0.082 10.249 0.975 3.535 2.738 7.809 "1"
"176" 4.963 2.8471 50 -0.995 3.539 0.985 10.277 "2" 1.02 1.108 1.277 "0" "0" 2.359 0.001 10.582 1.762 3.899 2.667 8.702 "1"
"177" 4.789 2.8739 30.8 -0.318 3.354 1.425 10.091 "6" 1.019 1.144 1.149 "0" "0" 2.274 0.004 10.582 2.257 3.477 2.556 8.121 "1"
"178" 4.362 2.3925 31.6 0.225 2.93 0.75 9.272 "2" 0.992 1.147 1.177 "0" "0" 2.091 0.041 10.572 1.017 3.355 2.333 7.556 "1"
"179" 4.983 4.2631 23.1 0 3.342 1.792 10.074 "8" 1.044 1.16 1.011 "0" "0" 2.247 -0.008 0 2.666 3.397 3.694 7.88 "1"
"180" 4.977 1.8975 31.6 -0.336 4.19 3.866 10.735 "9" 0.991 1.142 1.157 "0" "0" 2.361 0 11.756 10.593 3.497 2.267 8.727 "1"
"181" 5.164 3.0492 26.7 -0.462 3.592 1.437 10.493 "9" 1.042 1.155 1.083 "0" "0" 2.402 -0.001 10.741 2.081 3.551 3.256 8.338 "1"
"182" 3.732 2.4945 22.2 0 2.553 1.585 8.16 "0" 0.979 1.171 1.119 "0" "0" 1.802 -0.212 0 2.488 2.89 2.167 6.675 "1"
"183" 3.966 2.9244 30.8 0 3.545 3.146 9.522 "0" 0.964 1.145 1.194 "0" "0" 1.97 0 0 6.909 3.005 1.618 7.749 "1"
"184" 3.986 2.958 32.1 0 4.008 3.792 10.039 "1" 0.965 1.141 1.198 "0" "0" 1.987 0 0 10.955 3.01 1.685 8.228 "1"
"185" 4.235 2.7848 29.6 0 2.946 1.975 9.118 "1" 0.973 1.146 1.168 "0" "0" 1.962 0.039 0 3.449 3.064 2.093 7.229 "1"
"186" 4.236 1.599 32.8 0 3.78 3.974 9.949 "1" 0.967 1.14 1.189 "0" "0" 2.236 0 0 8.475 3.322 1.611 8.211 "1"
"187" 4.362 3.0285 27.3 0 2.867 1.906 9.059 "2" 0.993 1.151 1.123 "0" "0" 2 -0.074 0 2.524 3.076 2.667 7.149 "1"
"188" 4.414 3.7375 35.3 1.188 2.812 1.379 9.222 "1" 0.985 1.134 1.258 "0" "0" 2 0.135 10.178 2.133 3.467 2.619 7.714 "1"
"189" 4 3.2163 25 -0.833 2.334 0.811 8.318 "0" 1.053 1.156 1.076 "0" "0" 1.732 -0.687 9 1 3.304 4.167 7.178 "1"
"190" 4.412 3.402 32.8 -0.327 4.486 4.297 10.675 "6" 0.974 1.14 1.193 "0" "0" 2.086 0 23.775 15.507 3.405 1.889 8.926 "1"
"191" 4.534 4.002 32.4 -0.28 4.039 3.181 10.485 "10" 0.983 1.141 1.18 "0" "0" 2.14 0 23.596 8.016 3.408 2.154 8.619 "1"
"192" 4.386 3.408 32.5 -0.09 4.167 3.774 10.379 "8" 0.98 1.14 1.186 "0" "0" 2.068 0 23.377 10.97 3.376 2.044 8.67 "1"
"193" 4.263 3.1913 28.6 -1.68 3.41 2.187 9.533 "4" 1.038 1.135 1.159 "0" "0" 2 0.015 19.933 4.143 3.643 3.379 8.478 "1"
"194" 4.17 3.4143 30 -0.481 2.548 0.971 8.597 "1" 1.02 1.154 1.174 "0" "0" 1.848 0.425 9.472 1.542 3.379 3.533 7.404 "1"
"195" 4.65 4.0313 31.3 0.159 3.39 2.134 9.916 "5" 0.991 1.145 1.184 "0" "0" 2.122 0.004 10.961 3.936 3.527 2.372 8.131 "1"
"196" 4.347 3.4478 30.8 -0.193 3.233 2.3 9.338 "4" 0.998 1.147 1.169 "0" "0" 2.011 0.014 10.535 4.098 3.405 2.515 7.864 "1"
"197" 4.343 3.9399 33.3 -2.514 3.047 1.5 9.309 "4" 1.09 1.139 1.108 "0" "0" 2 -0.097 19.107 2.682 3.519 4.167 8.016 "1"
"198" 4.562 3.6148 25 -1.185 2.71 0.918 9.184 "2" 1.053 1.156 1.066 "0" "0" 2 -0.265 9.449 1.521 3.424 4 7.507 "1"
"199" 4.691 3.9139 26.7 -2.845 3.138 1.436 9.666 "5" 1.086 1.153 1.066 "0" "0" 2.117 0.053 19.412 2.428 3.49 4.241 8.03 "1"
"200" 4.476 3.72 31.3 -0.644 2.985 1.5 9.345 "4" 1.032 1.143 1.156 "0" "0" 2.042 -0.088 20.291 2.34 3.458 3.292 7.864 "1"
"201" 4.385 3.9908 32.4 -1.569 3.819 3.09 9.999 "10" 1.034 1.141 1.135 "0" "0" 2.061 0 21.678 6.884 3.432 2.833 8.562 "1"
"202" 4.791 4.5316 23.1 -1.384 3.354 1.73 9.99 "2" 1.018 1.173 1.117 "0" "0" 2.194 -0.008 20.829 2.395 3.467 3.083 8.19 "1"
"203" 4.303 3.3317 34.8 1.559 3.027 1.837 9.389 "1" 0.979 1.135 1.236 "0" "0" 2 0.042 10.396 3.193 3.349 2.37 7.827 "1"
"204" 4.499 2.8945 46.7 0 3.185 1.125 9.311 "0" 0.991 1.107 1.323 "0" "1" 2.136 0.043 0 1.481 3.692 2.16 8.337 "1"
"205" 4.651 2.6738 41.7 -0.396 3.482 1.911 9.989 "3" 1.007 1.125 1.256 "0" "0" 2.202 -0.002 21.674 3.267 3.611 2.692 8.461 "1"
"206" 4.692 2.7215 40.7 -0.393 3.547 1.876 10.164 "3" 1.002 1.126 1.259 "0" "0" 2.236 0.001 21.814 3.356 3.659 2.619 8.548 "1"
"207" 4.543 2.5935 40.9 0.008 3.298 1.705 9.722 "1" 0.993 1.127 1.253 "0" "0" 2.166 -0.008 10.506 2.905 3.567 2.394 8.223 "1"
"208" 4.653 1.8048 36.2 0 3.874 3.355 10.213 "2" 0.97 1.132 1.236 "0" "0" 2.214 0 0 8.143 3.64 1.833 8.486 "1"
"209" 4.562 3.2113 42.9 0 3.025 0.875 9.54 "4" 1.022 1.119 1.209 "0" "0" 2.17 0.047 0 1.14 3.646 2.917 8.003 "1"
"210" 4.77 3.031 45 0.125 3.217 1.185 9.882 "2" 0.987 1.114 1.294 "0" "0" 2.236 0.014 10.757 1.74 3.695 2.4 8.251 "1"
"211" 5.072 2.4853 36.1 -0.892 4.22 2.972 10.799 "12" 0.984 1.133 1.22 "0" "0" 2.351 0 24.843 7.668 3.794 2.144 8.984 "1"
"212" 4.882 3.2502 44.4 -2.254 3.451 1.258 10.136 "8" 1.053 1.116 1.194 "0" "0" 2.288 0.005 20.766 2.011 3.762 3.389 8.529 "1"
"213" 4.844 2.3785 50 -0.439 3.716 0.625 10.35 "9" 1.015 1.104 1.266 "0" "0" 2.286 0 11.622 3.405 3.736 2.573 8.765 "1"
"214" 4.77 2.6687 38.5 4.722 3.131 1.185 9.882 "0" 0.964 1.128 1.264 "0" "0" 2.236 0.012 0 1.74 3.533 1.75 7.981 "1"
"215" 4.675 1.7703 33.3 0 3.343 0 9.971 "0" 0.967 1.141 1.185 "0" "0" 2.236 0.001 0 2.829 3.269 1.551 7.764 "1"
"216" 4.645 1.7575 45.7 0 4.173 0 10.642 "12" 0.993 1.107 1.297 "0" "0" 2.236 0 0 3.604 3.957 2.043 9.309 "1"
"217" 4.679 3.1788 44.4 0 3.233 1.261 9.715 "4" 1.011 1.116 1.246 "0" "0" 2.222 0.014 10.219 1.695 3.67 2.583 8.192 "1"
"218" 4.863 2.4397 54.5 0 4.043 0.569 10.135 "0" 0.984 1.087 1.381 "1" "0" 2.3 0.001 0 2.241 6.879 1.981 11.612 "1"
"219" 4.481 2.7716 33.3 -0.065 2.566 0.929 9.053 "1" 1.047 1.139 1.127 "0" "0" 2.136 -0.239 9.677 0.964 3.454 3.033 7.487 "1"
"220" 4.414 3.0463 38.5 0 2.895 1.203 9.209 "1" 1.023 1.128 1.241 "0" "0" 2.152 -0.083 0 1.496 3.637 2.667 7.872 "1"
"221" 4.303 2.6696 33.3 -0.046 2.709 0.862 9.067 "2" 1.025 1.139 1.166 "0" "0" 2.115 0.137 10.021 0.956 3.416 2.778 7.481 "1"
"222" 4.875 2.757 35.3 -0.444 3.12 1.233 9.856 "6" 1.03 1.135 1.19 "0" "0" 2.288 -0.026 21.128 1.585 3.588 3.019 8.043 "1"
"223" 4.414 2.9065 30.8 -0.549 2.875 0.917 9.459 "3" 1.049 1.144 1.119 "0" "0" 2.199 -0.085 10.009 1.101 3.512 2.929 7.713 "1"
"224" 4.882 3.3902 41.2 -2.476 3.459 1.258 10.136 "4" 1.069 1.127 1.179 "0" "0" 2.288 0.005 20.641 2.011 3.785 3.472 8.553 "1"
"225" 4.17 3.1898 20 -0.968 2.533 0.971 8.597 "0" 1.052 1.175 1.032 "0" "0" 1.848 0.441 9.243 1.542 3.326 4.033 7.273 "1"
"226" 4.414 2.9195 27.3 -0.657 2.915 0.917 9.459 "3" 1.067 1.166 1.127 "0" "0" 2.199 -0.087 20.069 1.101 3.556 3.405 7.873 "1"
"227" 5.076 3.5506 38.1 0 3.418 1.258 10.189 "7" 1.029 1.133 1.204 "0" "0" 2.352 0.004 10.46 1.244 3.821 3.014 8.441 "1"
"228" 4.655 3.6465 25 -1.641 3.198 1.761 9.723 "3" 1.036 1.164 1.1 "0" "0" 2.107 -0.028 20.135 2.989 3.445 3.567 8.044 "1"
"229" 3.414 2.4441 33.3 0 2.631 1 7.408 "0" 0.997 1.132 1.291 "0" "1" 1.618 -0.575 0 1.707 3.567 2.653 7.775 "1"
"230" 4.303 3.0634 21.4 0 2.648 1.459 8.815 "2" 1.037 1.164 0.995 "0" "0" 1.932 -0.253 0 1.745 3.102 3.722 6.978 "1"
"231" 4.303 3.0468 23.1 0 2.913 1.459 8.815 "1" 1.039 1.156 1.09 "0" "1" 1.932 -0.244 0 1.745 3.579 3.407 7.899 "1"
"232" 4.214 2.9483 23.5 0 2.587 1.459 8.755 "0" 0.991 1.164 1.127 "0" "0" 1.902 -0.223 0 2.052 3.077 2.5 6.954 "1"
"233" 3.732 2.6724 20 0 2.616 1.585 8.16 "1" 1.019 1.172 1.024 "0" "0" 1.802 -0.247 0 2.488 2.938 3.167 6.799 "1"
"234" 3.414 2.956 33.3 0 2.39 1 7.408 "0" 1.09 1.139 1.171 "0" "0" 1.618 -0.723 17.611 1.707 3.218 4.5 7.145 "1"
"235" 4.236 2.9854 32.1 -0.654 3.751 3.122 10.004 "2" 0.974 1.141 1.193 "0" "0" 2 0 10.334 8.008 3.329 2.05 8.216 "1"
"236" 4.462 3.3098 32.3 -0.287 3.997 3.524 10.224 "5" 0.984 1.141 1.173 "0" "0" 2.088 0 11.373 9.6 3.384 2.22 8.492 "1"
"237" 4 3.078 22.2 -0.333 2.306 0.811 8.318 "0" 1.022 1.171 1.113 "0" "0" 1.732 -0.65 9.222 1 3.281 3.667 7.135 "1"
"238" 4.372 3.5554 29.2 -0.233 3.138 1.922 9.494 "3" 1.007 1.147 1.136 "0" "0" 2.031 -0.026 10.251 3.412 3.355 2.6 7.811 "1"
"239" 4.382 3.2243 33.3 -0.013 3.935 3.554 10.06 "4" 0.973 1.138 1.203 "0" "0" 2.051 0 11.42 9.36 3.366 1.903 8.397 "1"
"240" 4.17 3.5122 33.3 -0.981 2.57 0.971 8.597 "2" 1.047 1.139 1.147 "0" "0" 1.848 0.444 9.25 1.542 3.396 3.933 7.436 "1"
"241" 4.346 3.4572 33.3 -0.33 3.048 1.975 9.16 "4" 0.998 1.139 1.181 "0" "0" 2 0.046 10.346 3.165 3.423 2.63 7.73 "1"
"242" 4.644 3.9848 36.8 0.048 3.09 1.837 9.467 "6" 1.004 1.131 1.223 "0" "0" 2.084 0.048 10.532 2.732 3.529 2.815 7.958 "1"
"243" 4.645 3.6462 23.1 -0.987 3.347 2.117 9.828 "2" 1.018 1.173 1.104 "0" "0" 2.098 -0.008 10.217 4.049 3.432 3.097 8.143 "1"
"244" 4.645 0.8039 34.1 -0.966 5.043 1.182 11.662 "23" 0.989 1.137 1.173 "0" "0" 2.475 0 38.399 11.072 3.58 1.998 9.841 "1"
"245" 3.902 2.7284 33.3 0 3.092 2.322 8.881 "0" 0.969 1.141 1.233 "0" "0" 1.919 -0.022 0 4.086 3.24 2.1 7.617 "1"
"246" 3 2.5124 33.3 0 2.081 0.918 6.594 "0" 0.998 1.152 1.303 "0" "0" 1.414 0.917 0 1.333 3.201 3.5 6.984 "1"
"247" 4.362 3.6459 33.3 -0.449 2.997 1.906 9.059 "3" 1.027 1.144 1.205 "0" "0" 2 -0.089 10.198 2.524 3.441 3.208 7.868 "1"
"248" 4.5 4.1188 32 0 4.808 4.3 10.919 "9" 0.967 1.14 1.211 "0" "0" 2.121 0 0 10.634 3.939 1.622 9.326 "1"
"249" 4.593 2.8754 42.1 -0.036 3.222 1.461 9.665 "1" 0.998 1.125 1.264 "0" "0" 2.175 0.014 10.502 2.298 3.599 2.483 8.187 "1"
"250" 4.499 2.8728 41.2 0 2.976 1.125 9.311 "0" 0.979 1.127 1.257 "0" "0" 2.136 0.043 0 1.481 3.554 2.146 7.83 "1"
"251" 4.596 3.2643 42.9 0 3.025 0.875 9.54 "4" 1.022 1.119 1.223 "0" "0" 2.175 0.047 0 1.069 3.651 2.917 8.003 "1"
"252" 4.517 2.898 42.1 0 3.086 1.409 9.391 "2" 0.987 1.12 1.252 "0" "0" 2.149 -0.025 0 2.036 3.574 2.074 7.928 "1"
"253" 4.607 3.1199 38.9 0 3.105 1.187 9.631 "2" 0.998 1.132 1.227 "0" "0" 2.194 -0.025 0 1.544 3.643 2.315 8.042 "1"
"254" 4.499 3.0314 50 0 3.027 1.125 9.311 "2" 0.998 1.104 1.291 "0" "0" 2.136 0.045 10.006 1.481 3.592 2.583 7.979 "1"
"255" 4.732 3.015 47.1 0.121 3.127 1.187 9.642 "2" 0.992 1.11 1.286 "0" "0" 2.194 -0.025 10.645 1.659 3.652 2.481 8.132 "1"
"256" 5.072 2.9677 38.1 -0.942 3.863 2.341 10.435 "12" 1.001 1.129 1.206 "0" "0" 2.351 0 23.889 4.023 3.794 2.433 8.737 "1"
"257" 5.075 2.9203 36.4 -0.888 4.159 2.681 10.794 "14" 0.986 1.132 1.21 "0" "0" 2.357 0 25.14 5.828 3.795 2.19 8.941 "1"
"258" 4.842 3.2871 41.2 -1.093 3.483 1.258 10.136 "8" 1.069 1.127 1.199 "0" "0" 2.278 0.005 30.593 2.113 3.849 3.5 8.704 "1"
"259" 5.021 3.5325 38.9 -1.291 3.45 1.124 10.277 "10" 1.072 1.127 1.147 "0" "0" 2.343 0.005 10.313 1.623 3.834 3.611 8.537 "1"
"260" 4.499 3.0645 53.8 0 3.047 1.125 9.311 "0" 0.99 1.102 1.337 "0" "0" 2.136 0.046 0 1.481 3.636 2.521 8.094 "1"
"261" 4.414 2.1543 30 0 2.736 0.802 9.183 "0" 0.97 1.149 1.165 "0" "0" 2.101 -0.064 0 0.975 3.143 1.833 7.083 "1"
"262" 5.099 2.2523 35.1 1.47 3.533 1.938 10.469 "3" 0.983 1.135 1.209 "0" "0" 2.236 -0.001 10.55 3.879 3.429 2.283 8.257 "1"
"263" 4.791 2.9639 45 0 3.211 1.461 9.725 "3" 0.987 1.114 1.29 "0" "0" 2.231 0.014 0 1.917 3.661 2.383 8.14 "1"
"264" 4.842 2.4571 54.5 0 3.414 0 9.955 "0" 0.974 1.094 1.336 "0" "0" 2.278 -0.002 0 2.113 3.711 1.944 8.428 "1"
"265" 4.303 2.9763 30 -0.546 2.745 0.862 9.067 "2" 1.075 1.146 1.101 "0" "0" 2.115 0.153 9.799 0.956 3.464 3.111 7.565 "1"
"266" 4.414 2.8688 41.7 -0.053 2.898 0.802 9.183 "2" 1.016 1.128 1.25 "0" "0" 2.101 -0.082 10.214 0.975 3.523 2.738 7.808 "1"
"267" 4 2.1142 29.4 0 2.585 0 8.623 "0" 0.972 1.151 1.138 "0" "0" 2 0.112 0 0.667 3.033 1.667 6.823 "1"
"268" 4.918 2.3933 21.7 0 3.482 1.116 10.266 "4" 1.045 1.184 1.136 "0" "0" 2.376 0.001 20.532 1.651 3.535 2.731 8.314 "1"
"269" 4.983 4.2631 23.1 0 3.342 1.792 10.074 "8" 1.044 1.16 1.011 "0" "0" 2.247 -0.008 0 2.666 3.397 3.694 7.88 "1"
"270" 4.383 3.2291 32.6 0.022 4.136 3.882 10.272 "4" 0.97 1.14 1.199 "0" "0" 2.058 0 11.783 11.382 3.366 1.789 8.51 "1"
"271" 3.956 2.8079 31.9 0 3.413 2.974 9.377 "0" 0.96 1.141 1.208 "0" "0" 1.962 0.001 0 6.102 2.976 1.567 7.59 "1"
"272" 3.848 2.5749 25 0 2.824 2 8.584 "0" 0.975 1.163 1.134 "0" "0" 1.879 -0.07 0 3.284 2.918 2.125 6.954 "1"
"273" 3.802 2.7308 22.2 0 2.753 1.95 8.394 "0" 1.01 1.166 1.058 "0" "0" 1.848 0.141 0 2.885 2.955 2.929 6.944 "1"
"274" 4.399 3.3815 32.6 -0.214 4.632 4.491 10.776 "8" 0.974 1.138 1.206 "0" "0" 2.08 0 23.914 17.537 3.646 1.855 9.204 "1"
"275" 4.334 3.6944 33.3 -0.359 2.838 1.557 8.944 "3" 1.013 1.139 1.178 "0" "0" 1.97 0.15 10.072 2.195 3.421 2.952 7.598 "1"
"276" 4.347 3.1896 33.3 -0.312 3.371 2.565 9.489 "4" 0.985 1.139 1.195 "0" "0" 2.015 0.004 10.607 4.993 3.423 2.282 7.952 "1"
"277" 4.414 3.2075 44.4 -1.157 2.954 0.917 9.459 "4" 1.096 1.116 1.183 "0" "0" 2.199 -0.091 19.847 1.101 3.658 3.548 8.015 "1"
"278" 4.17 2.9651 33.3 0 2.499 0.971 8.597 "0" 0.979 1.145 1.271 "0" "0" 1.848 0.368 0 1.542 3.33 2.767 7.322 "1"
"279" 4 3 50 0 2.72 0 8.623 "0" 0.971 1.104 1.316 "0" "0" 2 0.13 0 0.667 3.452 2 7.573 "1"
"280" 4.499 3.0778 43.8 0 2.99 1.125 9.311 "2" 0.991 1.117 1.253 "0" "0" 2.136 0.045 0 1.481 3.573 2.146 7.878 "1"
"281" 4.783 3.2726 38.9 0 3.105 1.187 9.668 "2" 0.998 1.132 1.23 "0" "0" 2.222 -0.025 0 1.358 3.666 2.315 8.046 "1"
"282" 5.31 2.3715 58.3 -0.128 3.745 0.625 10.681 "8" 1.008 1.087 1.312 "0" "0" 2.499 0 24.203 1.262 3.942 2.5 8.901 "1"
"283" 4.977 1.9452 32.4 -0.347 4.201 3.866 10.735 "9" 0.992 1.14 1.166 "0" "0" 2.361 0 11.747 10.593 3.497 2.3 8.778 "1"
"284" 4.977 1.9472 31.4 -0.338 4.127 3.706 10.694 "9" 0.993 1.143 1.153 "0" "0" 2.361 0 11.724 9.639 3.497 2.321 8.68 "1"
"285" 4.825 3.1934 46.7 0 3.642 1.185 9.902 "0" 1.034 1.1 1.359 "0" "1" 2.263 0.014 0 1.476 4.054 2.483 9.085 "0"
"286" 4.562 1.8929 35.1 0 3.526 0 10.054 "0" 0.974 1.139 1.209 "0" "0" 2.194 0 0 4.13 3.489 1.744 8.179 "0"
"287" 4.982 2.3934 42.1 -0.686 3.339 0.762 10.226 "8" 1.027 1.12 1.204 "0" "0" 2.424 0.004 21.884 1.027 3.693 2.773 8.297 "0"
"288" 6.316 7.7233 31.6 -4.617 4.645 1.747 12.353 "2" 1.291 1.348 0.906 "0" "0" 2.69 0 9.855 5.094 3.993 5.741 9.673 "0"
"289" 6.33 7.9184 31.8 -4.724 4.795 1.824 12.519 "2" 1.292 1.35 0.906 "0" "0" 2.7 0 9.894 5.891 4.005 5.742 9.825 "0"
"290" 5.236 3.9153 50 0 4.045 0.799 10.434 "0" 1.133 1.076 1.408 "0" "1" 2.414 0.004 0 0.873 4.337 2.889 9.676 "0"
"291" 5.522 3.7026 36.7 0 3.769 1.131 11.278 "4" 0.971 1.131 1.265 "0" "0" 2.491 0 0 1.648 3.876 2.022 8.78 "0"
"292" 4 2.3041 40 0 3.301 0 9.314 "0" 0.965 1.125 1.274 "0" "0" 2 0.004 0 1.244 3.237 1.75 7.887 "0"
"293" 5.511 3.4572 30.9 0 3.844 1.702 11.324 "14" 0.988 1.144 1.185 "0" "0" 2.455 0 0 2.753 3.582 2.04 8.624 "0"
"294" 5.798 1.9414 53.3 0 4.75 0 11.103 "0" 0.97 1.085 1.455 "0" "0" 2.562 0 0 1.471 10.329 1.883 14.016 "0"
"295" 5.451 2.8245 39.2 0 4.167 1.07 11.333 "7" 1 1.131 1.256 "0" "0" 2.461 0 22.251 4.053 3.91 2.481 9.32 "0"
"296" 5.449 3.493 37.5 0 3.705 1.162 11.208 "0" 0.964 1.13 1.28 "0" "0" 2.449 0 0 1.726 3.814 1.819 8.693 "0"
"297" 4.88 2.4237 54.5 0 4.426 0.673 10.289 "0" 0.994 1.08 1.425 "1" "0" 2.316 -0.001 0 2.38 6.881 2.012 12.284 "0"
"298" 5.495 2.7485 38.7 0 4.274 1.059 11.72 "8" 0.975 1.127 1.271 "0" "0" 2.494 0 0 3.879 3.895 2.059 9.318 "0"
"299" 5.87 2.7059 48.3 0 4.278 0.953 11.16 "4" 1.039 1.098 1.34 "0" "1" 2.52 0 0 2.321 4.28 2.586 9.741 "0"
"300" 5.998 1.8789 44.4 0.642 4.308 0.749 11.637 "3" 1.054 1.103 1.332 "0" "1" 2.859 0 0 1.117 4.405 2.355 9.843 "0"
"301" 5.997 2.1119 46.2 0.654 4.268 0.76 11.555 "0" 1.043 1.099 1.378 "0" "1" 2.824 0 0 1.013 4.404 2.366 9.796 "0"
"302" 5.995 2.3808 41.7 0.394 4.378 0.752 11.528 "0" 1.074 1.102 1.373 "0" "1" 2.805 0 0 1.076 4.407 2.6 9.952 "0"
"303" 5.494 2.7618 42.6 0 3.914 1.061 11.182 "4" 0.975 1.119 1.288 "0" "0" 2.483 0 0 2.176 3.888 2.04 8.961 "0"
"304" 5.029 1.6864 38.8 0 4.128 0 10.839 "0" 0.979 1.119 1.308 "0" "0" 2.418 0 0 3.219 4.348 1.71 9.423 "0"
"305" 5.292 4.3135 28.6 0 4.256 1.907 10.8 "2" 1.1 1.127 1.321 "0" "1" 2.255 0.001 0 4.275 4.277 2.97 9.84 "0"
"306" 4.912 3.4643 50 0 3.588 0.881 9.863 "0" 1.052 1.09 1.388 "0" "1" 2.264 -0.025 0 0.95 4.139 2.593 9.097 "0"
"307" 5.027 3.5931 50 0 3.764 0.861 10.084 "0" 1.079 1.085 1.398 "0" "1" 2.318 0.014 0 0.984 4.211 2.711 9.329 "0"
"308" 4.935 3.5218 50 0 3.764 0.861 10.06 "0" 1.079 1.085 1.399 "0" "1" 2.303 0.014 0 1.047 4.174 2.711 9.328 "0"
"309" 5.119 3.736 50 0 3.915 0.832 10.265 "0" 1.106 1.08 1.405 "0" "1" 2.365 -0.008 0 0.952 4.27 2.808 9.517 "0"
"310" 5.035 2.6068 48 0 4.145 0.954 10.713 "8" 1.064 1.105 1.308 "0" "1" 2.368 0 21.048 3.414 4.11 2.833 9.572 "0"
"311" 5.149 1.8559 40 0 3.783 0.447 10.642 "4" 0.974 1.125 1.238 "0" "0" 2.411 0 0 2.814 3.767 1.825 8.579 "0"
"312" 4.675 2.1615 52 0 3.478 0 9.971 "0" 0.972 1.1 1.336 "0" "0" 2.236 0.001 0 2.829 3.633 1.91 8.453 "0"
"313" 5.109 2.4912 44.8 0 4.178 0.749 10.817 "0" 1.028 1.113 1.336 "0" "1" 2.398 0 0 3.174 4.124 2.488 9.615 "0"
"314" 5.045 2.1704 53.3 0 3.772 0 10.481 "0" 0.98 1.1 1.338 "0" "0" 2.385 0 0 2.901 3.886 1.951 8.877 "0"
"315" 4.461 3.6265 25.7 0 3.242 2.117 9.797 "0" 0.975 1.161 1.182 "0" "0" 2.084 -0.007 0 3.798 3.216 1.833 7.767 "0"
"316" 4 2.7345 16.7 0 2.197 0.811 8.318 "0" 0.988 1.187 1.104 "0" "0" 1.732 -0.572 0 1 3.02 2.5 6.636 "0"
"317" 5.382 4.8614 20 0 3.855 1.352 10.182 "6" 1.086 1.162 1.154 "1" "0" 2.264 0.051 19.844 1.459 6.88 3.889 11.599 "0"
"318" 3 2.0093 22.2 0 1.926 0.918 6.594 "0" 0.998 1.162 1.102 "0" "0" 1.414 0.861 0 1.333 2.731 2.5 6.033 "0"
"319" 4.414 3.4168 28.6 0 2.72 1.379 9.222 "0" 0.977 1.148 1.18 "0" "0" 2 0.124 0 2.133 3.189 2.024 7.198 "0"
"320" 3.879 3.1116 26.1 0 2.995 2.281 8.743 "0" 1.007 1.154 1.107 "0" "0" 1.902 0.047 0 3.685 3.047 2.278 7.323 "0"
"321" 3.414 2.1658 20 0 2.78 1 7.408 "0" 0.98 1.109 1.396 "0" "0" 1.618 -0.501 0 1.707 4.066 1.917 8.467 "0"
